day,rate
01-01-2019,2.1598
02-01-2019,2.1598
03-01-2019,2.1701
04-01-2019,2.1788
05-01-2019,2.1727
06-01-2019,2.1727
07-01-2019,2.1727
08-01-2019,2.1727
09-01-2019,2.159
10-01-2019,2.1569
11-01-2019,2.1532
12-01-2019,2.1503
13-01-2019,2.1503
14-01-2019,2.1503
15-01-2019,2.1542
16-01-2019,2.1571
17-01-2019,2.1556
18-01-2019,2.1546
19-01-2019,2.1499
20-01-2019,2.1499
21-01-2019,2.1499
22-01-2019,2.1506
23-01-2019,2.1556
24-01-2019,2.1539
25-01-2019,2.1527
26-01-2019,2.1516
27-01-2019,2.1516
28-01-2019,2.1516
29-01-2019,2.1523
30-01-2019,2.1593
31-01-2019,2.1584
01-02-2019,2.1499
02-02-2019,2.1575
03-02-2019,2.1575
04-02-2019,2.1575
05-02-2019,2.1583
06-02-2019,2.1579
07-02-2019,2.1604
08-02-2019,2.1663
09-02-2019,2.1664
10-02-2019,2.1664
11-02-2019,2.1664
12-02-2019,2.1587
13-02-2019,2.1581
14-02-2019,2.1571
15-02-2019,2.1679
16-02-2019,2.1666
17-02-2019,2.1666
18-02-2019,2.1666
19-02-2019,2.1574
20-02-2019,2.1564
21-02-2019,2.1455
22-02-2019,2.1411
23-02-2019,2.1402
24-02-2019,2.1402
25-02-2019,2.1402
26-02-2019,2.1367
27-02-2019,2.1384
28-02-2019,2.1385
01-03-2019,2.1384
02-03-2019,2.139
03-03-2019,2.139
04-03-2019,2.139
05-03-2019,2.1416
06-03-2019,2.1431
07-03-2019,2.1414
08-03-2019,2.138
09-03-2019,2.138
10-03-2019,2.138
11-03-2019,2.138
12-03-2019,2.1399
13-03-2019,2.1381
14-03-2019,2.1349
15-03-2019,2.1315
16-03-2019,2.1278
17-03-2019,2.1278
18-03-2019,2.1278
19-03-2019,2.1138
20-03-2019,2.1064
21-03-2019,2.1057
22-03-2019,2.0963
23-03-2019,2.1022
24-03-2019,2.1022
25-03-2019,2.1022
26-03-2019,2.1141
27-03-2019,2.1163
28-03-2019,2.1269
29-03-2019,2.1288
30-03-2019,2.1285
31-03-2019,2.1285
01-04-2019,2.1285
02-04-2019,2.1382
03-04-2019,2.1414
04-04-2019,2.1417
05-04-2019,2.1428
06-04-2019,2.1415
